id,lifecycle,demand,risk_level,cash_pct,bond_pct,equity_pct,commodity_pct
1,刚毕业,保值,1,60,40,0,0
2,刚毕业,保值,2,15,80,0,5
3,刚毕业,保值,3,5,60,30,5
4,刚毕业,保值,4,5,35,40,20
5,刚毕业,保值,5,5,20,45,30
6,刚毕业,增值,1,60,40,0,0
7,刚毕业,增值,2,15,75,0,10
8,刚毕业,增值,3,5,55,35,5
9,刚毕业,增值,4,5,35,45,15
10,刚毕业,增值,5,5,20,55,20
11,刚毕业,传承,1,60,40,0,0
12,刚毕业,传承,2,15,80,0,5
13,刚毕业,传承,3,5,60,30,5
14,刚毕业,传承,4,5,35,40,20
15,刚毕业,传承,5,5,20,45,30
16,单身青年,保值,1,60,40,0,0
17,单身青年,保值,2,15,80,0,5
18,单身青年,保值,3,5,60,30,5
19,单身青年,保值,4,5,35,40,20
20,单身青年,保值,5,5,20,45,30
21,单身青年,增值,1,60,40,0,0
22,单身青年,增值,2,15,75,0,10
23,单身青年,增值,3,5,55,35,5
24,单身青年,增值,4,5,35,45,15
25,单身青年,增值,5,5,20,55,20
26,单身青年,传承,1,60,40,0,0
27,单身青年,传承,2,15,80,0,5
28,单身青年,传承,3,5,60,30,5
29,单身青年,传承,4,5,35,40,20
30,单身青年,传承,5,5,20,45,30
31,二人世界,保值,1,60,40,0,0
32,二人世界,保值,2,15,80,0,5
33,二人世界,保值,3,5,60,30,5
34,二人世界,保值,4,5,35,40,20
35,二人世界,保值,5,5,20,45,30
36,二人世界,增值,1,60,40,0,0
37,二人世界,增值,2,15,75,0,10
38,二人世界,增值,3,5,55,35,5
39,二人世界,增值,4,5,35,45,15
40,二人世界,增值,5,5,20,55,20
41,二人世界,传承,1,60,40,0,0
42,二人世界,传承,2,15,80,0,5
43,二人世界,传承,3,5,60,30,5
44,二人世界,传承,4,5,35,40,20
45,二人世界,传承,5,5,20,45,30
46,小孩学前,保值,1,65,35,0,0
47,小孩学前,保值,2,20,75,0,5
48,小孩学前,保值,3,10,60,25,5
49,小孩学前,保值,4,5,40,35,20
50,小孩学前,保值,5,5,30,35,30
51,小孩学前,增值,1,65,35,0,0
52,小孩学前,增值,2,20,70,0,10
53,小孩学前,增值,3,10,50,35,5
54,小孩学前,增值,4,5,30,45,20
55,小孩学前,增值,5,5,10,55,30
56,小孩学前,传承,1,65,35,0,0
57,小孩学前,传承,2,20,75,0,5
58,小孩学前,传承,3,10,60,25,5
59,小孩学前,传承,4,5,40,35,20
60,小孩学前,传承,5,5,30,35,30
61,小孩成年前,保值,1,65,35,0,0
62,小孩成年前,保值,2,20,75,0,5
63,小孩成年前,保值,3,10,60,25,5
64,小孩成年前,保值,4,5,40,35,20
65,小孩成年前,保值,5,5,30,35,30
66,小孩成年前,增值,1,65,35,0,0
67,小孩成年前,增值,2,20,70,0,10
68,小孩成年前,增值,3,10,50,35,5
69,小孩成年前,增值,4,5,30,45,20
70,小孩成年前,增值,5,5,10,55,30
71,小孩成年前,传承,1,65,35,0,0
72,小孩成年前,传承,2,20,75,0,5
73,小孩成年前,传承,3,10,60,25,5
74,小孩成年前,传承,4,5,40,35,20
75,小孩成年前,传承,5,5,30,35,30
76,子女成年,保值,1,70,30,0,0
77,子女成年,保值,2,20,75,0,5
78,子女成年,保值,3,15,55,25,5
79,子女成年,保值,4,15,35,35,15
80,子女成年,保值,5,15,20,35,30
81,子女成年,增值,1,70,30,0,0
82,子女成年,增值,2,25,70,0,5
83,子女成年,增值,3,15,50,30,5
84,子女成年,增值,4,10,40,35,15
85,子女成年,增值,5,15,10,45,30
86,子女成年,传承,1,70,30,0,0
87,子女成年,传承,2,20,75,0,5
88,子女成年,传承,3,15,55,25,5
89,子女成年,传承,4,15,35,35,15
90,子女成年,传承,5,15,20,35,30
91,退休,保值,1,70,30,0,0
92,退休,保值,2,20,75,0,5
93,退休,保值,3,15,55,25,5
94,退休,保值,4,15,35,35,15
95,退休,保值,5,15,20,35,30
96,退休,增值,1,70,30,0,0
97,退休,增值,2,25,70,0,5
98,退休,增值,3,15,50,30,5
99,退休,增值,4,10,40,35,15
100,退休,增值,5,15,10,45,30
101,退休,传承,1,70,30,0,0
102,退休,传承,2,20,75,0,5
103,退休,传承,3,15,55,25,5
104,退休,传承,4,15,35,35,15
105,退休,传承,5,15,20,35,30
